,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,StoreId,IsHoliday
0,2010-02-05,1643690.9,-0.9951355648687328,2.572,211.0963582,8.106,c4ca4238a0b923820dcc509a6f75849b,0
1,2010-02-12,1641957.44,-1.2011702151599246,2.548,211.2421698,8.106,c4ca4238a0b923820dcc509a6f75849b,1
2,2010-02-19,1611968.17,-1.124178319524795,2.514,211.2891429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
3,2010-02-26,1409727.59,-0.7609066992745362,2.561,211.3196429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
4,2010-03-05,1554806.68,-0.7679552531002877,2.625,211.3501429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
5,2010-03-12,1439541.59,-0.15581546315619518,2.667,211.3806429,8.106,c4ca4238a0b923820dcc509a6f75849b,0
6,2010-03-19,1472515.79,-0.3298605230074385,2.72,211.215635,8.106,c4ca4238a0b923820dcc509a6f75849b,0
7,2010-03-26,1404429.92,-0.4995680112736039,2.732,211.0180424,8.106,c4ca4238a0b923820dcc509a6f75849b,0
8,2010-04-02,1594968.28,0.08708854560815708,2.719,210.8204499,7.808,c4ca4238a0b923820dcc509a6f75849b,0
9,2010-04-09,1545418.53,0.2817370704885193,2.77,210.6228574,7.808,c4ca4238a0b923820dcc509a6f75849b,0
10,2010-04-16,1466058.28,0.30667810710271587,2.808,210.4887,7.808,c4ca4238a0b923820dcc509a6f75849b,0
11,2010-04-23,1391256.12,0.2264330327787787,2.795,210.4391228,7.808,c4ca4238a0b923820dcc509a6f75849b,0
12,2010-04-30,1425100.71,0.3657775199493999,2.78,210.3895456,7.808,c4ca4238a0b923820dcc509a6f75849b,0
13,2010-05-07,1603955.12,0.6444664942906431,2.835,210.3399684,7.808,c4ca4238a0b923820dcc509a6f75849b,0
14,2010-05-14,1494251.5,0.7653763022246847,2.854,210.3374261,7.808,c4ca4238a0b923820dcc509a6f75849b,0
15,2010-05-21,1399662.07,0.855380912615047,2.826,210.6170934,7.808,c4ca4238a0b923820dcc509a6f75849b,0
16,2010-05-28,1432069.95,1.0722594918689328,2.759,210.8967606,7.808,c4ca4238a0b923820dcc509a6f75849b,0
17,2010-06-04,1615524.71,1.0858144030723007,2.705,211.1764278,7.808,c4ca4238a0b923820dcc509a6f75849b,0
18,2010-06-11,1542561.09,1.0717172954207985,2.668,211.4560951,7.808,c4ca4238a0b923820dcc509a6f75849b,0
19,2010-06-18,1503284.06,1.271245588334373,2.637,211.4537719,7.808,c4ca4238a0b923820dcc509a6f75849b,0
20,2010-06-25,1422711.6,1.2837161066414717,2.653,211.3386526,7.808,c4ca4238a0b923820dcc509a6f75849b,0
21,2010-07-02,1492418.14,1.0977427249312643,2.669,211.2235333,7.787,c4ca4238a0b923820dcc509a6f75849b,0
22,2010-07-09,1546074.18,1.074428277661472,2.642,211.108414,7.787,c4ca4238a0b923820dcc509a6f75849b,0
23,2010-07-16,1448938.92,1.2191947293134409,2.623,211.1003854,7.787,c4ca4238a0b923820dcc509a6f75849b,0
24,2010-07-23,1385065.2,1.2305808547242694,2.608,211.2351443,7.787,c4ca4238a0b923820dcc509a6f75849b,0
25,2010-07-30,1371986.6,1.148166994607793,2.64,211.3699032,7.787,c4ca4238a0b923820dcc509a6f75849b,0
26,2010-08-06,1605491.78,1.4366155050154608,2.627,211.5046621,7.787,c4ca4238a0b923820dcc509a6f75849b,0
27,2010-08-13,1508237.76,1.4279403618453055,2.692,211.6394211,7.787,c4ca4238a0b923820dcc509a6f75849b,0
28,2010-08-20,1513080.49,1.4089634861605909,2.664,211.6033633,7.787,c4ca4238a0b923820dcc509a6f75849b,0
29,2010-08-27,1449142.92,1.3314293940773263,2.619,211.5673056,7.787,c4ca4238a0b923820dcc509a6f75849b,0
